,date,temperature_2m,precipitation,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,is_day,sunshine_duration
0,2010-07-01 00:00:00+00:00,24.0,0.0,35.1,12.0,0.0,81.0,1.0,3600.0
1,2010-07-01 01:00:00+00:00,24.1,0.0,53.7,32.0,0.0,83.0,1.0,3600.0
2,2010-07-01 02:00:00+00:00,24.2,0.0,42.9,22.0,0.0,77.0,1.0,3600.0
3,2010-07-01 03:00:00+00:00,24.25,0.0,36.6,16.0,0.0,74.0,1.0,3600.0
4,2010-07-01 04:00:00+00:00,24.3,0.0,27.3,8.0,0.0,67.0,1.0,3600.0
5,2010-07-01 05:00:00+00:00,24.35,0.0,14.700001,7.0,0.0,28.0,1.0,3600.0
6,2010-07-01 06:00:00+00:00,24.35,0.0,10.2,7.0,0.0,13.0,1.0,3600.0
7,2010-07-01 07:00:00+00:00,24.3,0.0,1.8,2.0,0.0,0.0,1.0,3600.0
8,2010-07-01 08:00:00+00:00,24.25,0.0,9.0,10.0,0.0,0.0,1.0,3600.0
9,2010-07-01 09:00:00+00:00,24.25,0.0,26.099998,29.0,0.0,0.0,1.0,2612.3792
10,2010-07-01 10:00:00+00:00,24.15,0.1,27.0,26.0,6.0,0.0,0.0,0.0
11,2010-07-01 11:00:00+00:00,24.25,0.0,33.0,26.0,16.0,0.0,0.0,0.0
12,2010-07-01 12:00:00+00:00,24.2,0.0,21.900002,19.0,8.0,0.0,0.0,0.0
13,2010-07-01 13:00:00+00:00,24.15,0.0,17.7,19.0,1.0,0.0,0.0,0.0
14,2010-07-01 14:00:00+00:00,24.1,0.0,18.300001,19.0,2.0,0.0,0.0,0.0
15,2010-07-01 15:00:00+00:00,24.1,0.0,21.3,17.0,10.0,0.0,0.0,0.0
16,2010-07-01 16:00:00+00:00,24.0,0.0,19.5,15.0,10.0,0.0,0.0,0.0
17,2010-07-01 17:00:00+00:00,23.95,0.0,31.5,21.0,21.0,0.0,0.0,0.0
18,2010-07-01 18:00:00+00:00,23.95,0.0,43.200005,21.0,39.0,3.0,0.0,0.0
19,2010-07-01 19:00:00+00:00,24.05,0.0,50.4,18.0,56.0,2.0,1.0,0.0
20,2010-07-01 20:00:00+00:00,24.0,0.2,86.4,36.0,86.0,8.0,1.0,1252.9958
21,2010-07-01 21:00:00+00:00,24.2,0.3,100.0,72.0,96.0,8.0,1.0,2527.0183
22,2010-07-01 22:00:00+00:00,24.1,0.3,93.299995,52.0,74.0,7.0,1.0,2192.7341
23,2010-07-01 23:00:00+00:00,24.15,0.2,100.0,75.0,61.0,33.0,1.0,2812.06
24,2010-07-02 00:00:00+00:00,24.25,0.3,100.0,68.0,60.0,40.0,1.0,3600.0
25,2010-07-02 01:00:00+00:00,24.35,0.2,100.0,55.0,54.0,76.0,1.0,3600.0
26,2010-07-02 02:00:00+00:00,24.4,0.3,73.2,30.0,45.0,64.0,1.0,3600.0
27,2010-07-02 03:00:00+00:00,24.4,0.3,66.0,27.0,25.0,89.0,1.0,3600.0
28,2010-07-02 04:00:00+00:00,24.55,0.1,71.100006,30.0,32.0,83.0,1.0,3600.0
29,2010-07-02 05:00:00+00:00,24.45,0.2,84.3,32.0,67.0,51.0,1.0,3600.0
30,2010-07-02 06:00:00+00:00,24.35,0.2,84.3,29.0,80.0,34.0,1.0,0.0
31,2010-07-02 07:00:00+00:00,24.3,0.0,87.9,22.0,91.0,45.0,1.0,2918.573
32,2010-07-02 08:00:00+00:00,24.25,0.0,78.9,18.0,98.0,13.0,1.0,0.0
33,2010-07-02 09:00:00+00:00,24.25,0.0,67.8,9.0,98.0,3.0,1.0,0.0
34,2010-07-02 10:00:00+00:00,24.2,0.0,73.2,15.0,97.0,5.0,0.0,0.0
35,2010-07-02 11:00:00+00:00,24.15,0.0,66.3,7.0,94.0,12.0,0.0,0.0
36,2010-07-02 12:00:00+00:00,24.1,0.0,60.9,7.0,83.0,16.0,0.0,0.0
37,2010-07-02 13:00:00+00:00,24.05,0.1,66.3,3.0,98.0,16.0,0.0,0.0
38,2010-07-02 14:00:00+00:00,24.0,0.3,61.500004,3.0,88.0,20.0,0.0,0.0
39,2010-07-02 15:00:00+00:00,23.85,0.2,64.799995,19.0,70.0,19.0,0.0,0.0
40,2010-07-02 16:00:00+00:00,23.8,0.0,68.700005,25.0,63.0,28.0,0.0,0.0
41,2010-07-02 17:00:00+00:00,23.8,0.7,100.0,52.0,94.0,32.0,0.0,0.0
42,2010-07-02 18:00:00+00:00,23.6,1.1,100.0,41.0,84.0,47.0,0.0,0.0
43,2010-07-02 19:00:00+00:00,23.55,1.8,100.0,54.0,77.0,67.0,1.0,0.0
44,2010-07-02 20:00:00+00:00,23.5,1.6,100.0,83.0,68.0,86.0,1.0,0.0
45,2010-07-02 21:00:00+00:00,23.55,1.0,100.0,90.0,35.0,92.0,1.0,1787.9713
46,2010-07-02 22:00:00+00:00,23.95,0.2,100.0,81.0,32.0,77.0,1.0,2730.5332
47,2010-07-02 23:00:00+00:00,24.05,0.0,84.6,59.0,12.0,81.0,1.0,3600.0
48,2010-07-03 00:00:00+00:00,24.1,0.0,72.0,46.0,10.0,82.0,1.0,3600.0
49,2010-07-03 01:00:00+00:00,24.15,0.0,65.100006,37.0,16.0,74.0,1.0,3600.0
50,2010-07-03 02:00:00+00:00,24.25,0.0,63.600002,30.0,19.0,84.0,1.0,3600.0
51,2010-07-03 03:00:00+00:00,24.35,0.0,61.5,30.0,16.0,83.0,1.0,3600.0
52,2010-07-03 04:00:00+00:00,24.45,0.0,47.4,18.0,22.0,60.0,1.0,3600.0
53,2010-07-03 05:00:00+00:00,24.5,0.0,26.100002,7.0,14.0,38.0,1.0,3600.0
54,2010-07-03 06:00:00+00:00,24.55,0.0,21.6,2.0,12.0,42.0,1.0,3600.0
55,2010-07-03 07:00:00+00:00,24.55,0.0,49.200005,0.0,50.0,64.0,1.0,3600.0
56,2010-07-03 08:00:00+00:00,24.5,0.0,60.600002,0.0,54.0,94.0,1.0,3600.0
57,2010-07-03 09:00:00+00:00,24.55,0.0,48.600002,0.0,31.0,100.0,1.0,49.49206
58,2010-07-03 10:00:00+00:00,24.5,0.0,74.100006,2.0,71.0,99.0,0.0,0.0
59,2010-07-03 11:00:00+00:00,24.5,0.0,85.200005,0.0,92.0,100.0,0.0,0.0
60,2010-07-03 12:00:00+00:00,24.45,0.0,63.9,2.0,54.0,99.0,0.0,0.0
61,2010-07-03 13:00:00+00:00,24.45,0.0,76.8,6.0,83.0,72.0,0.0,0.0
62,2010-07-03 14:00:00+00:00,24.5,0.0,96.600006,10.0,98.0,96.0,0.0,0.0
63,2010-07-03 15:00:00+00:00,24.55,0.0,87.600006,10.0,82.0,98.0,0.0,0.0
64,2010-07-03 16:00:00+00:00,24.6,0.2,72.3,1.0,69.0,100.0,0.0,0.0
65,2010-07-03 17:00:00+00:00,24.6,1.1,68.4,0.0,64.0,100.0,0.0,0.0
66,2010-07-03 18:00:00+00:00,24.5,1.9,64.8,7.0,48.0,99.0,0.0,0.0
67,2010-07-03 19:00:00+00:00,24.55,1.6,94.5,6.0,99.0,99.0,1.0,0.0
68,2010-07-03 20:00:00+00:00,24.55,1.3,100.0,22.0,100.0,100.0,1.0,0.0
69,2010-07-03 21:00:00+00:00,24.8,1.7,100.0,25.0,100.0,100.0,1.0,0.0
70,2010-07-03 22:00:00+00:00,24.7,1.1,100.0,18.0,99.0,99.0,1.0,0.0
71,2010-07-03 23:00:00+00:00,24.8,0.3,100.0,28.0,96.0,99.0,1.0,0.0
72,2010-07-04 00:00:00+00:00,24.7,0.1,100.0,29.0,94.0,100.0,1.0,0.0
73,2010-07-04 01:00:00+00:00,24.8,0.0,100.0,31.0,85.0,100.0,1.0,0.0
74,2010-07-04 02:00:00+00:00,24.85,0.0,100.0,43.0,93.0,100.0,1.0,203.9811
75,2010-07-04 03:00:00+00:00,24.95,0.0,100.0,42.0,91.0,100.0,1.0,388.97897
76,2010-07-04 04:00:00+00:00,25.0,0.0,100.0,55.0,99.0,100.0,1.0,0.0
77,2010-07-04 05:00:00+00:00,25.0,0.0,100.0,15.0,96.0,100.0,1.0,0.0
78,2010-07-04 06:00:00+00:00,25.0,0.0,100.0,80.0,60.0,100.0,1.0,226.09772
79,2010-07-04 07:00:00+00:00,25.0,0.0,100.0,81.0,68.0,100.0,1.0,0.0
80,2010-07-04 08:00:00+00:00,25.0,0.0,100.0,64.0,56.0,100.0,1.0,0.0
81,2010-07-04 09:00:00+00:00,25.05,0.0,100.0,61.0,65.0,100.0,1.0,0.0
82,2010-07-04 10:00:00+00:00,25.05,0.3,100.0,79.0,86.0,100.0,0.0,0.0
83,2010-07-04 11:00:00+00:00,25.0,0.6,78.3,29.0,37.0,100.0,0.0,0.0
84,2010-07-04 12:00:00+00:00,25.15,0.3,100.0,23.0,85.0,100.0,0.0,0.0
85,2010-07-04 13:00:00+00:00,25.15,0.5,88.8,12.0,80.0,100.0,0.0,0.0
86,2010-07-04 14:00:00+00:00,25.1,0.9,100.0,22.0,90.0,100.0,0.0,0.0
87,2010-07-04 15:00:00+00:00,25.05,1.0,86.4,8.0,82.0,100.0,0.0,0.0
88,2010-07-04 16:00:00+00:00,25.05,1.4,81.3,3.0,81.0,100.0,0.0,0.0
89,2010-07-04 17:00:00+00:00,25.1,1.7,74.4,2.0,76.0,90.0,0.0,0.0
90,2010-07-04 18:00:00+00:00,24.95,1.2,100.0,26.0,100.0,82.0,0.0,0.0
91,2010-07-04 19:00:00+00:00,25.0,3.9,100.0,37.0,95.0,94.0,1.0,0.0
92,2010-07-04 20:00:00+00:00,24.95,1.7,100.0,37.0,94.0,100.0,1.0,0.0
93,2010-07-04 21:00:00+00:00,24.9,1.0,100.0,24.0,90.0,99.0,1.0,0.0
94,2010-07-04 22:00:00+00:00,24.95,0.8,100.0,33.0,82.0,99.0,1.0,0.0
95,2010-07-04 23:00:00+00:00,25.15,1.6,58.800003,14.0,27.0,100.0,1.0,0.0
96,2010-07-05 00:00:00+00:00,25.15,3.1,65.100006,7.0,48.0,100.0,1.0,0.0
97,2010-07-05 01:00:00+00:00,25.15,5.2,100.0,50.0,63.0,100.0,1.0,0.0
98,2010-07-05 02:00:00+00:00,25.2,6.9,100.0,99.0,55.0,100.0,1.0,0.0
99,2010-07-05 03:00:00+00:00,25.1,9.5,100.0,72.0,68.0,100.0,1.0,0.0
100,2010-07-05 04:00:00+00:00,25.0,11.3,100.0,18.0,98.0,100.0,1.0,0.0
101,2010-07-05 05:00:00+00:00,25.05,11.7,87.3,5.0,90.0,96.0,1.0,0.0
102,2010-07-05 06:00:00+00:00,25.05,10.8,88.5,2.0,96.0,97.0,1.0,0.0
103,2010-07-05 07:00:00+00:00,25.0,1.6,88.200005,0.0,98.0,98.0,1.0,0.0
104,2010-07-05 08:00:00+00:00,24.9,2.2,86.700005,0.0,97.0,95.0,1.0,0.0
105,2010-07-05 09:00:00+00:00,25.0,2.6,88.8,0.0,99.0,98.0,1.0,0.0
106,2010-07-05 10:00:00+00:00,25.2,2.5,87.90001,1.0,95.0,100.0,0.0,0.0
107,2010-07-05 11:00:00+00:00,25.2,2.1,91.200005,2.0,99.0,100.0,0.0,0.0
108,2010-07-05 12:00:00+00:00,25.2,1.2,90.90001,1.0,100.0,100.0,0.0,0.0
109,2010-07-05 13:00:00+00:00,25.15,0.8,85.8,0.0,93.0,100.0,0.0,0.0
110,2010-07-05 14:00:00+00:00,25.0,0.5,71.100006,5.0,61.0,100.0,0.0,0.0
111,2010-07-05 15:00:00+00:00,25.0,0.4,80.4,20.0,54.0,100.0,0.0,0.0
112,2010-07-05 16:00:00+00:00,25.0,0.0,88.200005,32.0,49.0,100.0,0.0,0.0
113,2010-07-05 17:00:00+00:00,24.95,0.0,100.0,22.0,87.0,100.0,0.0,0.0
114,2010-07-05 18:00:00+00:00,24.95,0.0,100.0,26.0,95.0,100.0,0.0,0.0
115,2010-07-05 19:00:00+00:00,24.95,0.1,81.9,25.0,49.0,100.0,1.0,0.0
116,2010-07-05 20:00:00+00:00,25.0,0.2,75.6,22.0,43.0,100.0,1.0,0.0
117,2010-07-05 21:00:00+00:00,25.0,0.2,78.0,22.0,47.0,100.0,1.0,0.0
118,2010-07-05 22:00:00+00:00,24.95,0.2,100.0,94.0,21.0,100.0,1.0,0.0
119,2010-07-05 23:00:00+00:00,25.05,0.1,96.0,62.0,17.0,100.0,1.0,0.0
120,2010-07-06 00:00:00+00:00,25.1,0.0,54.300003,20.0,11.0,99.0,1.0,795.83496
121,2010-07-06 01:00:00+00:00,25.15,0.0,53.4,19.0,11.0,99.0,1.0,3056.2893
122,2010-07-06 02:00:00+00:00,25.2,0.0,49.5,10.0,18.0,99.0,1.0,3600.0
123,2010-07-06 03:00:00+00:00,25.15,0.0,37.2,0.0,15.0,94.0,1.0,3600.0
124,2010-07-06 04:00:00+00:00,25.15,0.0,39.0,0.0,16.0,98.0,1.0,3600.0
125,2010-07-06 05:00:00+00:00,25.15,0.0,31.800003,0.0,8.0,90.0,1.0,3600.0
126,2010-07-06 06:00:00+00:00,25.1,0.0,25.5,5.0,5.0,60.0,1.0,3600.0
127,2010-07-06 07:00:00+00:00,25.05,0.0,14.1,1.0,3.0,38.0,1.0,3600.0
128,2010-07-06 08:00:00+00:00,25.0,0.0,22.5,2.0,11.0,47.0,1.0,3600.0
129,2010-07-06 09:00:00+00:00,24.95,0.0,32.1,2.0,13.0,75.0,1.0,1548.7483
130,2010-07-06 10:00:00+00:00,24.5,0.0,22.5,4.0,5.0,53.0,0.0,0.0
131,2010-07-06 11:00:00+00:00,24.45,0.0,23.400002,9.0,4.0,43.0,0.0,0.0
132,2010-07-06 12:00:00+00:00,24.4,0.0,99.6,94.0,7.0,36.0,0.0,0.0
133,2010-07-06 13:00:00+00:00,24.4,0.0,41.1,23.0,6.0,56.0,0.0,0.0
134,2010-07-06 14:00:00+00:00,24.35,0.0,49.800003,24.0,2.0,90.0,0.0,0.0
135,2010-07-06 15:00:00+00:00,24.3,0.0,67.200005,38.0,10.0,90.0,0.0,0.0
136,2010-07-06 16:00:00+00:00,24.3,0.0,100.0,88.0,11.0,98.0,0.0,0.0
137,2010-07-06 17:00:00+00:00,24.3,0.0,100.0,100.0,19.0,100.0,0.0,0.0
138,2010-07-06 18:00:00+00:00,24.25,0.0,100.0,100.0,23.0,100.0,0.0,0.0
139,2010-07-06 19:00:00+00:00,24.25,0.0,100.0,85.0,26.0,100.0,1.0,0.0
140,2010-07-06 20:00:00+00:00,24.25,0.0,78.600006,43.0,17.0,99.0,1.0,0.0
141,2010-07-06 21:00:00+00:00,24.25,0.0,70.200005,32.0,19.0,100.0,1.0,3600.0
142,2010-07-06 22:00:00+00:00,24.3,0.0,100.0,98.0,11.0,97.0,1.0,3600.0
143,2010-07-06 23:00:00+00:00,24.3,0.0,100.0,100.0,15.0,94.0,1.0,3600.0
144,2010-07-07 00:00:00+00:00,24.35,0.0,100.0,89.0,13.0,96.0,1.0,3600.0
145,2010-07-07 01:00:00+00:00,24.4,0.0,100.0,81.0,4.0,98.0,1.0,3600.0
146,2010-07-07 02:00:00+00:00,24.4,0.0,87.3,63.0,2.0,98.0,1.0,3600.0
147,2010-07-07 03:00:00+00:00,24.45,0.0,66.9,41.0,0.0,100.0,1.0,3600.0
148,2010-07-07 04:00:00+00:00,24.45,0.0,50.1,23.0,0.0,98.0,1.0,3600.0
149,2010-07-07 05:00:00+00:00,24.45,0.0,43.5,17.0,0.0,94.0,1.0,3600.0
150,2010-07-07 06:00:00+00:00,24.4,0.0,44.4,18.0,0.0,94.0,1.0,3600.0
151,2010-07-07 07:00:00+00:00,24.35,0.0,38.1,10.0,0.0,97.0,1.0,3600.0
152,2010-07-07 08:00:00+00:00,24.3,0.0,33.9,5.0,0.0,98.0,1.0,3600.0
153,2010-07-07 09:00:00+00:00,24.25,0.0,29.7,0.0,0.0,99.0,1.0,949.96216
154,2010-07-07 10:00:00+00:00,24.45,0.0,97.2,75.0,0.0,99.0,0.0,0.0
155,2010-07-07 11:00:00+00:00,24.4,0.0,100.0,90.0,0.0,99.0,0.0,0.0
156,2010-07-07 12:00:00+00:00,24.35,0.0,100.0,89.0,0.0,97.0,0.0,0.0
157,2010-07-07 13:00:00+00:00,24.35,0.0,99.0,78.0,0.0,96.0,0.0,0.0
158,2010-07-07 14:00:00+00:00,24.3,0.0,80.7,57.0,0.0,98.0,0.0,0.0
159,2010-07-07 15:00:00+00:00,24.25,0.0,80.4,57.0,0.0,97.0,0.0,0.0
160,2010-07-07 16:00:00+00:00,24.2,0.0,80.100006,55.0,2.0,98.0,0.0,0.0
161,2010-07-07 17:00:00+00:00,24.15,0.0,63.0,37.0,0.0,99.0,0.0,0.0
162,2010-07-07 18:00:00+00:00,24.15,0.0,63.300003,33.0,8.0,96.0,0.0,0.0
163,2010-07-07 19:00:00+00:00,24.1,0.0,72.0,39.0,18.0,87.0,1.0,0.0
164,2010-07-07 20:00:00+00:00,24.1,0.0,71.100006,40.0,19.0,79.0,1.0,512.70575
165,2010-07-07 21:00:00+00:00,24.15,0.0,64.8,45.0,3.0,75.0,1.0,994.7445
166,2010-07-07 22:00:00+00:00,24.1,0.0,92.7,95.0,0.0,24.0,1.0,3600.0
167,2010-07-07 23:00:00+00:00,24.15,0.0,54.899998,61.0,0.0,0.0,1.0,3600.0
168,2010-07-08 00:00:00+00:00,24.2,0.0,39.299995,39.0,6.0,2.0,1.0,3600.0
169,2010-07-08 01:00:00+00:00,24.25,0.0,24.6,21.0,5.0,9.0,1.0,3600.0
170,2010-07-08 02:00:00+00:00,24.35,0.0,15.599999,14.0,0.0,10.0,1.0,3600.0
171,2010-07-08 03:00:00+00:00,24.4,0.0,20.7,14.0,4.0,19.0,1.0,3600.0
172,2010-07-08 04:00:00+00:00,24.45,0.0,28.2,18.0,2.0,36.0,1.0,3600.0
173,2010-07-08 05:00:00+00:00,24.4,0.0,23.4,12.0,0.0,42.0,1.0,3600.0
174,2010-07-08 06:00:00+00:00,24.4,0.0,19.5,8.0,0.0,41.0,1.0,3600.0
175,2010-07-08 07:00:00+00:00,24.35,0.0,11.1,7.0,0.0,16.0,1.0,3600.0
176,2010-07-08 08:00:00+00:00,24.3,0.0,19.2,20.0,2.0,0.0,1.0,3600.0
177,2010-07-08 09:00:00+00:00,24.25,0.0,12.3,13.0,1.0,0.0,1.0,2566.262
178,2010-07-08 10:00:00+00:00,24.35,0.0,10.5,11.0,1.0,0.0,0.0,0.0
179,2010-07-08 11:00:00+00:00,24.3,0.0,13.5,13.0,3.0,0.0,0.0,0.0
180,2010-07-08 12:00:00+00:00,24.3,0.0,8.4,8.0,2.0,0.0,0.0,0.0
181,2010-07-08 13:00:00+00:00,24.25,0.0,18.3,17.0,5.0,0.0,0.0,0.0
182,2010-07-08 14:00:00+00:00,24.25,0.0,38.399998,36.0,10.0,0.0,0.0,0.0
183,2010-07-08 15:00:00+00:00,24.2,0.0,36.6,30.0,16.0,0.0,0.0,0.0
184,2010-07-08 16:00:00+00:00,24.2,0.0,47.1,41.0,17.0,0.0,0.0,0.0
185,2010-07-08 17:00:00+00:00,24.15,0.0,32.7,25.0,17.0,0.0,0.0,0.0
186,2010-07-08 18:00:00+00:00,24.15,0.0,38.7,23.0,17.0,26.0,0.0,0.0
187,2010-07-08 19:00:00+00:00,24.15,0.0,48.300003,30.0,17.0,37.0,1.0,0.0
188,2010-07-08 20:00:00+00:00,24.1,0.0,57.899998,42.0,13.0,41.0,1.0,1100.1947
189,2010-07-08 21:00:00+00:00,24.15,0.0,100.0,95.0,15.0,36.0,1.0,3137.6248
190,2010-07-08 22:00:00+00:00,24.25,0.6,87.299995,72.0,20.0,35.0,1.0,3600.0
191,2010-07-08 23:00:00+00:00,24.1,1.5,90.0,75.0,29.0,17.0,1.0,3600.0
192,2010-07-09 00:00:00+00:00,24.1,0.6,80.7,37.0,64.0,30.0,1.0,3600.0
193,2010-07-09 01:00:00+00:00,24.15,0.0,71.4,21.0,71.0,33.0,1.0,3600.0
194,2010-07-09 02:00:00+00:00,24.35,0.0,36.6,13.0,24.0,35.0,1.0,3600.0
195,2010-07-09 03:00:00+00:00,24.45,0.0,42.3,37.0,0.0,30.0,1.0,3600.0
196,2010-07-09 04:00:00+00:00,24.45,0.0,28.499998,23.0,4.0,18.0,1.0,3600.0
197,2010-07-09 05:00:00+00:00,24.5,0.0,18.0,10.0,1.0,28.0,1.0,3600.0
198,2010-07-09 06:00:00+00:00,24.45,0.0,30.900002,13.0,5.0,54.0,1.0,3600.0
