Params: {'C': 0.01, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.01, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.47003756974839833
Params: {'C': 0.01, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.16380605376340862
Params: {'C': 0.1, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6845491332377999
Params: {'C': 0.1, 'mode': 1, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17279325182071262
Params: {'C': 0.1, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6494978643511277
Params: {'C': 0.01, 'mode': 1, 'eps': 0.01, 'learn_intercept': True}, Score: 0.6636779271473129
Params: {'C': 0.01, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.6935595551335235
Params: {'C': 0.1, 'mode': 2, 'eps': 0.1, 'learn_intercept': True}, Score: 0.6657390760944824
Params: {'C': 0.1, 'mode': 1, 'eps': 0.1, 'learn_intercept': True}, Score: 0.705921906656621
Params: {'C': 0.01, 'mode': 2, 'eps': 0.01, 'learn_intercept': True}, Score: 0.4915804966875419
Params: {'C': 0.1, 'mode': 2, 'eps': 1.0, 'learn_intercept': True}, Score: 0.17138534911057304
Params: {'C': 0.01, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.16273431904475089
Params: {'C': 0.1, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.01, 'mode': 1, 'eps': 1.0, 'learn_intercept': False}, Score: 0.1713450079426303
Params: {'C': 0.01, 'mode': 2, 'eps': 0.1, 'learn_intercept': False}, Score: 0.46412127853782686
Params: {'C': 0.1, 'mode': 1, 'eps': 0.01, 'learn_intercept': False}, Score: 0.6796473028141384
Params: {'C': 0.1, 'mode': 2, 'eps': 1.0, 'learn_intercept': False}, Score: 0.16974314336099292
