utc_timestamp,DE_KN_residential3_grid_import,DE_KN_residential3_grid_export,temp,holiday,season_Autumn,season_Spring,season_Summer,season_Winter,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
2016-02-28 17:15:00,0.0439453125,0.0,4.449999999999999,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 17:30:00,0.189453125,0.0,4.3,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 17:45:00,0.369140625,0.0,4.15,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 18:00:00,0.548828125,0.0,4.0,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 18:15:00,0.78662109375,0.0,3.9,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 18:30:00,1.01708984375,0.0,3.8,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 18:45:00,1.2373046875,0.0,3.7,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 19:00:00,1.50439453125,0.0,3.6,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 19:15:00,1.76953125,0.0,3.45,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 19:30:00,2.0390625,0.0,3.3,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 19:45:00,2.259765625,0.0,3.15,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 20:00:00,2.458984375,0.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 20:15:00,2.65966796875,0.0,2.925,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 20:30:00,2.859375,0.0,2.85,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 20:45:00,3.048828125,0.0,2.7750000000000004,0,0,0,0,1,0,0,0,1,0,0,0
2016-02-28 21:00:00,3.25244140625,0.0,2.7,0,0,0,0,1,0,0,0,1,0,0,0
