consumption,temperature_2m,precipitation,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,is_day,sunshine_duration,day_of_week,month,hour,day
0.0,24.0,0.0,35.1,12.0,0.0,81.0,1.0,3600.0,3,7,0,1
0.0,24.1,0.0,53.7,32.0,0.0,83.0,1.0,3600.0,3,7,1,1
0.0,24.2,0.0,42.9,22.0,0.0,77.0,1.0,3600.0,3,7,2,1
0.0,24.25,0.0,36.6,16.0,0.0,74.0,1.0,3600.0,3,7,3,1
0.0,24.3,0.0,27.3,8.0,0.0,67.0,1.0,3600.0,3,7,4,1
0.0,24.35,0.0,14.700001,7.0,0.0,28.0,1.0,3600.0,3,7,5,1
0.0,24.35,0.0,10.2,7.0,0.0,13.0,1.0,3600.0,3,7,6,1
0.0,24.3,0.0,1.8,2.0,0.0,0.0,1.0,3600.0,3,7,7,1
0.031,24.25,0.0,9.0,10.0,0.0,0.0,1.0,3600.0,3,7,8,1
0.225,24.25,0.0,26.099998,29.0,0.0,0.0,1.0,2612.3792,3,7,9,1
0.269,24.15,0.1,27.0,26.0,6.0,0.0,0.0,0.0,3,7,10,1
0.281,24.25,0.0,33.0,26.0,16.0,0.0,0.0,0.0,3,7,11,1
0.256,24.2,0.0,21.900002,19.0,8.0,0.0,0.0,0.0,3,7,12,1
0.2,24.15,0.0,17.7,19.0,1.0,0.0,0.0,0.0,3,7,13,1
0.125,24.1,0.0,18.300001,19.0,2.0,0.0,0.0,0.0,3,7,14,1
0.031,24.1,0.0,21.3,17.0,10.0,0.0,0.0,0.0,3,7,15,1
0.013,24.0,0.0,19.5,15.0,10.0,0.0,0.0,0.0,3,7,16,1
0.0,23.95,0.0,31.5,21.0,21.0,0.0,0.0,0.0,3,7,17,1
0.0,23.95,0.0,43.200005,21.0,39.0,3.0,0.0,0.0,3,7,18,1
0.0,24.05,0.0,50.4,18.0,56.0,2.0,1.0,0.0,3,7,19,1
0.0,24.0,0.2,86.4,36.0,86.0,8.0,1.0,1252.9958,3,7,20,1
0.0,24.2,0.3,100.0,72.0,96.0,8.0,1.0,2527.0183,3,7,21,1
0.0,24.1,0.3,93.299995,52.0,74.0,7.0,1.0,2192.7341,3,7,22,1
0.0,24.15,0.2,100.0,75.0,61.0,33.0,1.0,2812.06,3,7,23,1
0.0,24.25,0.3,100.0,68.0,60.0,40.0,1.0,3600.0,4,7,0,2
0.0,24.35,0.2,100.0,55.0,54.0,76.0,1.0,3600.0,4,7,1,2
0.0,24.4,0.3,73.2,30.0,45.0,64.0,1.0,3600.0,4,7,2,2
0.0,24.4,0.3,66.0,27.0,25.0,89.0,1.0,3600.0,4,7,3,2
0.0,24.55,0.1,71.100006,30.0,32.0,83.0,1.0,3600.0,4,7,4,2
0.0,24.45,0.2,84.3,32.0,67.0,51.0,1.0,3600.0,4,7,5,2
0.0,24.35,0.2,84.3,29.0,80.0,34.0,1.0,0.0,4,7,6,2
0.0,24.3,0.0,87.9,22.0,91.0,45.0,1.0,2918.573,4,7,7,2
0.006,24.25,0.0,78.9,18.0,98.0,13.0,1.0,0.0,4,7,8,2
0.056,24.25,0.0,67.8,9.0,98.0,3.0,1.0,0.0,4,7,9,2
0.05,24.2,0.0,73.2,15.0,97.0,5.0,0.0,0.0,4,7,10,2
0.05,24.15,0.0,66.3,7.0,94.0,12.0,0.0,0.0,4,7,11,2
0.069,24.1,0.0,60.9,7.0,83.0,16.0,0.0,0.0,4,7,12,2
0.081,24.05,0.1,66.3,3.0,98.0,16.0,0.0,0.0,4,7,13,2
0.063,24.0,0.3,61.500004,3.0,88.0,20.0,0.0,0.0,4,7,14,2
0.031,23.85,0.2,64.799995,19.0,70.0,19.0,0.0,0.0,4,7,15,2
0.013,23.8,0.0,68.700005,25.0,63.0,28.0,0.0,0.0,4,7,16,2
0.0,23.8,0.7,100.0,52.0,94.0,32.0,0.0,0.0,4,7,17,2
0.0,23.6,1.1,100.0,41.0,84.0,47.0,0.0,0.0,4,7,18,2
0.0,23.55,1.8,100.0,54.0,77.0,67.0,1.0,0.0,4,7,19,2
0.0,23.5,1.6,100.0,83.0,68.0,86.0,1.0,0.0,4,7,20,2
0.0,23.55,1.0,100.0,90.0,35.0,92.0,1.0,1787.9713,4,7,21,2
0.0,23.95,0.2,100.0,81.0,32.0,77.0,1.0,2730.5332,4,7,22,2
0.0,24.05,0.0,84.6,59.0,12.0,81.0,1.0,3600.0,4,7,23,2
0.0,24.1,0.0,72.0,46.0,10.0,82.0,1.0,3600.0,5,7,0,3
0.0,24.15,0.0,65.100006,37.0,16.0,74.0,1.0,3600.0,5,7,1,3
0.0,24.25,0.0,63.600002,30.0,19.0,84.0,1.0,3600.0,5,7,2,3
0.0,24.35,0.0,61.5,30.0,16.0,83.0,1.0,3600.0,5,7,3,3
0.0,24.45,0.0,47.4,18.0,22.0,60.0,1.0,3600.0,5,7,4,3
0.0,24.5,0.0,26.100002,7.0,14.0,38.0,1.0,3600.0,5,7,5,3
0.0,24.55,0.0,21.6,2.0,12.0,42.0,1.0,3600.0,5,7,6,3
0.0,24.55,0.0,49.200005,0.0,50.0,64.0,1.0,3600.0,5,7,7,3
0.013,24.5,0.0,60.600002,0.0,54.0,94.0,1.0,3600.0,5,7,8,3
0.231,24.55,0.0,48.600002,0.0,31.0,100.0,1.0,49.49206,5,7,9,3
