temperature_2m,precipitation,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,is_day,sunshine_duration,Month,DayOfWeek,MeanEnergyConsumption
13.8,0.0,92.100006,65.0,56.0,0.0,0.0,0.0,7,1,0.1007441476452767
17.25,0.0,100.0,81.0,62.0,0.0,0.0,0.0,8,0,0.2470178231463878
21.4,0.3,100.0,100.0,99.0,35.0,1.0,3600.0,8,0,0.163051568298479
6.6,0.0,51.9,8.0,26.0,97.0,0.0,0.0,12,6,0.162039076185795
7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0.1101344016541742
12.1,0.0,64.8,26.0,19.0,100.0,1.0,3600.0,11,3,0.2071496598185941
7.8,0.0,73.8,75.0,3.0,15.0,0.0,0.0,4,4,0.3058225227027027
18.05,0.0,98.4,94.0,23.0,0.0,1.0,0.0,10,1,0.217336948638226
12.45,0.3,100.0,43.0,78.0,75.0,0.0,0.0,7,0,0.1032146070124371
8.2,0.6,81.3,33.0,64.0,44.0,0.0,204.459,4,3,0.3053924368907563
5.95,0.2,100.0,100.0,74.0,62.0,0.0,0.0,4,3,0.1349480712908012
14.65,0.1,62.1,26.0,37.0,55.0,1.0,2087.4316,6,3,0.148241046065033
12.8,0.0,35.1,39.0,0.0,0.0,0.0,0.0,6,4,0.1277824404761904
10.45,0.0,15.3,1.0,24.0,0.0,1.0,0.0,6,5,0.1009765121943372
0.45,0.0,100.0,100.0,97.0,81.0,0.0,0.0,3,6,0.1900127463962919
20.1,0.0,20.7,1.0,0.0,66.0,1.0,2340.9663,8,1,0.2203379441450035
2.75,0.0,0.0,0.0,0.0,0.0,0.0,8.041265,4,1,0.3492372213522305
15.05,0.0,50.4,30.0,39.0,0.0,1.0,3600.0,9,5,0.2021965096342338
22.5,0.0,53.4,40.0,29.0,0.0,1.0,3600.0,8,0,0.169610393115273
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.3949778398891967
10.8,0.3,100.0,100.0,83.0,84.0,1.0,0.0,6,1,0.1989578217815549
13.25,0.0,58.5,31.0,51.0,0.0,1.0,0.0,9,5,0.2790232391950167
15.5,0.0,100.0,34.0,97.0,96.0,0.0,0.0,8,4,0.1009723480095351
8.9,0.0,100.0,67.0,73.0,0.0,1.0,3600.0,4,1,0.2081835378429517
7.3,0.0,71.7,79.0,1.0,0.0,1.0,3600.0,11,5,0.2507688342331288
1.0,0.3,95.4,10.0,94.0,100.0,1.0,0.0,2,2,0.334584439382151
-2.25,0.0,83.7,93.0,0.0,0.0,0.0,0.0,2,3,0.2634098063047285
16.1,0.0,63.299995,54.0,21.0,7.0,0.0,0.0,8,4,0.1581021915912339
10.55,0.0,29.7,2.0,43.0,7.0,0.0,0.0,10,2,0.3199221101059896
14.45,0.0,59.4,26.0,10.0,100.0,1.0,3600.0,9,4,0.1681685529255959
9.05,0.3,100.0,100.0,42.0,99.0,0.0,0.0,12,1,0.1608650049605133
5.3,0.0,68.7,59.0,26.0,0.0,0.0,0.0,10,5,0.3686303951158564
