time,temperature_2m (°C),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),is_day (),sunshine_duration (s)
2024-02-29T00:00,10.8,100,100,98,100,0,0.00
2024-02-29T01:00,10.8,100,100,100,100,0,0.00
2024-02-29T02:00,10.7,100,96,100,100,0,0.00
2024-02-29T03:00,10.3,100,85,31,100,0,0.00
2024-02-29T04:00,10.3,100,100,72,100,0,0.00
2024-02-29T05:00,10.4,100,100,100,100,0,0.00
2024-02-29T06:00,9.9,100,100,90,54,0,0.00
2024-02-29T07:00,9.9,100,100,98,13,1,0.00
2024-02-29T08:00,10.1,100,100,100,35,1,0.00
2024-02-29T09:00,10.1,100,100,80,33,1,0.00
2024-02-29T10:00,10.3,100,100,100,81,1,0.00
2024-02-29T11:00,10.5,100,100,100,100,1,0.00
2024-02-29T12:00,10.2,100,100,100,46,1,0.00
2024-02-29T13:00,10.0,100,100,100,22,1,0.00
2024-02-29T14:00,9.6,100,100,100,83,1,0.00
2024-02-29T15:00,9.3,100,100,100,95,1,0.00
2024-02-29T16:00,8.5,100,100,100,100,1,0.00
2024-02-29T17:00,8.0,100,96,100,100,1,0.00
2024-02-29T18:00,7.7,100,98,100,62,0,0.00
2024-02-29T19:00,7.8,100,95,100,11,0,0.00
2024-02-29T20:00,7.5,100,98,100,0,0,0.00
2024-02-29T21:00,7.2,100,21,100,0,0,0.00
2024-02-29T22:00,6.7,100,66,100,0,0,0.00
2024-02-29T23:00,6.1,100,8,100,0,0,0.00
2024-03-01T00:00,5.4,91,12,85,0,0,0.00
2024-03-01T01:00,4.8,100,0,100,0,0,0.00
2024-03-01T02:00,4.2,0,0,0,0,0,0.00
2024-03-01T03:00,3.7,17,17,0,0,0,0.00
2024-03-01T04:00,3.4,6,6,0,0,0,0.00
2024-03-01T05:00,3.5,38,38,0,0,0,0.00
2024-03-01T06:00,3.8,100,41,100,0,0,0.00
2024-03-01T07:00,5.1,100,100,100,0,1,0.00
2024-03-01T08:00,5.2,100,100,100,100,1,0.00
2024-03-01T09:00,5.6,100,100,100,0,1,0.00
2024-03-01T10:00,6.7,100,56,100,0,1,0.00
2024-03-01T11:00,7.8,85,81,6,0,1,3600.00
2024-03-01T12:00,8.4,67,67,0,0,1,3600.00
2024-03-01T13:00,9.1,43,43,0,0,1,3600.00
2024-03-01T14:00,9.7,97,52,94,0,1,3600.00
2024-03-01T15:00,9.2,57,45,27,0,1,3600.00
2024-03-01T16:00,8.3,40,6,35,0,1,3600.00
2024-03-01T17:00,7.7,76,48,53,0,1,3600.00
2024-03-01T18:00,6.9,99,34,98,0,0,0.00
2024-03-01T19:00,6.2,100,54,100,0,0,0.00
2024-03-01T20:00,5.7,86,72,47,0,0,0.00
2024-03-01T21:00,5.4,76,76,0,0,0,0.00
2024-03-01T22:00,5.3,68,68,0,0,0,0.00
2024-03-01T23:00,5.1,46,46,0,0,0,0.00
2024-03-02T00:00,4.9,69,43,49,0,0,0.00
2024-03-02T01:00,4.8,51,34,31,0,0,0.00
2024-03-02T02:00,4.5,100,44,100,0,0,0.00
2024-03-02T03:00,4.6,64,64,0,0,0,0.00
2024-03-02T04:00,4.6,76,42,57,0,0,0.00
2024-03-02T05:00,4.4,100,62,100,0,0,0.00
2024-03-02T06:00,4.6,100,48,100,0,0,0.00
2024-03-02T07:00,4.4,100,69,100,0,1,0.00
2024-03-02T08:00,4.9,100,81,100,0,1,43.18
2024-03-02T09:00,6.0,100,98,100,0,1,0.00
2024-03-02T10:00,6.6,76,64,35,0,1,3600.00
2024-03-02T11:00,7.4,69,58,33,0,1,3600.00
2024-03-02T12:00,7.8,89,76,65,0,1,3600.00
2024-03-02T13:00,8.3,69,68,4,0,1,3600.00
2024-03-02T14:00,8.7,55,55,0,0,1,3600.00
2024-03-02T15:00,8.7,59,59,0,0,1,3600.00
2024-03-02T16:00,8.3,72,56,32,0,1,3600.00
2024-03-02T17:00,7.6,33,31,3,0,1,3600.00
2024-03-02T18:00,6.7,44,44,0,0,0,50.38
2024-03-02T19:00,5.9,39,39,0,0,0,0.00
2024-03-02T20:00,5.1,37,37,0,0,0,0.00
2024-03-02T21:00,4.5,30,30,0,0,0,0.00
2024-03-02T22:00,4.2,45,45,0,0,0,0.00
2024-03-02T23:00,4.0,55,55,0,0,0,0.00
2024-03-03T00:00,3.9,88,39,76,48,0,0.00
2024-03-03T01:00,3.8,100,44,100,89,0,0.00
2024-03-03T02:00,3.7,90,44,15,80,0,0.00
2024-03-03T03:00,3.4,46,46,0,0,0,0.00
2024-03-03T04:00,3.4,48,48,0,1,0,0.00
2024-03-03T05:00,3.3,31,31,0,0,0,0.00
2024-03-03T06:00,3.2,2,2,0,0,0,0.00
2024-03-03T07:00,3.0,51,33,13,20,1,0.00
2024-03-03T08:00,3.4,66,66,0,0,1,2805.97
2024-03-03T09:00,5.0,57,57,0,0,1,3600.00
2024-03-03T10:00,6.9,68,67,0,2,1,3600.00
2024-03-03T11:00,8.3,55,55,0,0,1,3600.00
2024-03-03T12:00,9.2,41,41,0,0,1,3600.00
2024-03-03T13:00,9.9,53,45,16,1,1,3600.00
2024-03-03T14:00,10.3,66,50,33,1,1,3600.00
2024-03-03T15:00,10.2,78,54,49,2,1,3600.00
2024-03-03T16:00,9.7,71,49,33,10,1,3600.00
2024-03-03T17:00,8.7,63,43,16,19,1,3600.00
2024-03-03T18:00,7.8,56,38,0,27,0,729.09
2024-03-03T19:00,6.9,37,25,0,18,0,0.00
2024-03-03T20:00,6.0,19,13,0,9,0,0.00
2024-03-03T21:00,5.1,0,0,0,0,0,0.00
2024-03-03T22:00,4.4,0,0,0,0,0,0.00
2024-03-03T23:00,3.8,0,0,0,0,0,0.00
2024-03-04T00:00,3.3,0,0,0,0,0,0.00
2024-03-04T01:00,3.0,0,0,0,0,0,0.00
2024-03-04T02:00,2.8,0,0,0,0,0,0.00
2024-03-04T03:00,2.7,0,0,0,0,0,0.00
2024-03-04T04:00,2.3,12,12,0,0,0,0.00
2024-03-04T05:00,2.0,24,24,0,0,0,0.00
2024-03-04T06:00,2.1,36,36,0,0,0,0.00
2024-03-04T07:00,2.7,53,33,10,24,1,332.57
2024-03-04T08:00,3.8,71,31,20,48,1,2943.78
2024-03-04T09:00,5.0,88,28,30,72,1,3600.00
2024-03-04T10:00,6.7,83,30,26,63,1,3600.00
2024-03-04T11:00,8.5,78,32,21,55,1,3600.00
2024-03-04T12:00,9.8,73,34,17,46,1,3600.00
2024-03-04T13:00,10.3,81,23,40,60,1,3600.00
2024-03-04T14:00,10.3,90,11,64,75,1,3600.00
2024-03-04T15:00,10.0,98,0,87,89,1,3600.00
2024-03-04T16:00,9.4,99,16,91,93,1,3600.00
2024-03-04T17:00,8.5,99,32,96,96,1,3440.64
2024-03-04T18:00,7.7,100,48,100,100,0,0.00
2024-03-04T19:00,7.3,100,60,100,100,0,0.00
2024-03-04T20:00,6.9,100,71,100,100,0,0.00
2024-03-04T21:00,6.7,100,83,100,100,0,0.00
2024-03-04T22:00,6.5,100,79,99,67,0,0.00
2024-03-04T23:00,6.4,99,75,99,34,0,0.00
2024-03-05T00:00,6.4,99,71,98,1,0,0.00
2024-03-05T01:00,6.4,99,73,98,9,0,0.00
2024-03-05T02:00,6.5,100,75,99,17,0,0.00
2024-03-05T03:00,6.5,100,77,99,25,0,0.00
2024-03-05T04:00,6.3,100,79,99,32,0,0.00
2024-03-05T05:00,6.1,100,80,100,38,0,0.00
2024-03-05T06:00,5.9,100,82,100,45,0,0.00
2024-03-05T07:00,5.7,100,72,94,92,1,0.00
2024-03-05T08:00,5.9,100,60,97,84,1,0.00
2024-03-05T09:00,6.3,100,47,100,76,1,0.00
2024-03-05T10:00,7.0,100,55,100,84,1,0.00
2024-03-05T11:00,7.8,100,64,100,92,1,0.00
2024-03-05T12:00,8.6,100,72,100,100,1,0.00
2024-03-05T13:00,9.3,100,64,100,100,1,0.00
2024-03-05T14:00,10.0,100,57,100,100,1,0.00
2024-03-05T15:00,10.3,100,49,100,100,1,0.00
2024-03-05T16:00,10.0,99,52,98,67,1,0.00
2024-03-05T17:00,9.4,98,54,95,35,1,0.00
2024-03-05T18:00,8.7,97,57,93,2,0,0.00
2024-03-05T19:00,8.1,96,56,89,7,0,0.00
2024-03-05T20:00,7.6,96,56,86,11,0,0.00
2024-03-05T21:00,7.0,95,55,82,16,0,0.00
2024-03-05T22:00,6.6,95,58,84,11,0,0.00
2024-03-05T23:00,6.1,96,62,85,5,0,0.00
2024-03-06T00:00,5.8,96,65,87,0,0,0.00
2024-03-06T01:00,5.7,95,70,84,6,0,0.00
2024-03-06T02:00,5.6,93,74,80,13,0,0.00
2024-03-06T03:00,5.6,92,79,77,19,0,0.00
2024-03-06T04:00,5.4,91,77,75,14,0,0.00
2024-03-06T05:00,5.2,89,76,72,8,0,0.00
2024-03-06T06:00,5.2,88,74,70,3,0,0.00
2024-03-06T07:00,5.4,91,80,70,2,1,0.00
2024-03-06T08:00,5.7,93,85,69,1,1,96.74
2024-03-06T09:00,6.2,96,91,69,0,1,39.74
2024-03-06T10:00,7.0,97,94,71,9,1,0.00
